IDX,상호명,상권업종중분류명,시군구명,행정동명,도로명주소,경도,위도
9278,연성제일정철어학원,학원-어학,시흥시,장곡동,경기도 시흥시 진말로 7,126.7852529,37.37803896
9279,포천이동생막걸리부침개,유흥주점,시흥시,대야동,경기도 시흥시 복지로53번길 23-1,126.7868823,37.44505769
9280,딩동댕가요주점,유흥주점,시흥시,신천동,경기도 시흥시 호현로22번길 11,126.7857424,37.44146884
9281,김찬수안경원,사진/광학/정밀기기소매,시흥시,은행동,경기도 시흥시 은행정1길 20,126.8071939,37.4384255
9282,붕장군과꼼순이,한식,시흥시,군자동,경기도 시흥시 군자로533번길 3,126.7861268,37.34342034
9283,황진이가요광장,유흥주점,시흥시,정왕4동,경기도 시흥시 함송로14번길 5-8,126.7296571,37.36325426
9284,청기와순대국,한식,시흥시,매화동,경기도 시흥시 수인로2912번길 2,126.8187983,37.41618701
9285,세창매점및식당,한식,시흥시,정왕3동,경기도 시흥시 옥구천서로93번길 69,126.7013128,37.33892443
9286,옛날파전집,한식,시흥시,신천동,경기도 시흥시 호현로22번길 22,126.7862511,37.44076224
9287,명가칼국수,분식,시흥시,정왕1동,경기도 시흥시 중심상가3길 10-1,126.7367333,37.34518285
9288,본토양꼬치,유흥주점,시흥시,정왕본동,경기도 시흥시 군서로50번길 13,126.7475788,37.34724445
9289,은행아구찜,한식,시흥시,은행동,경기도 시흥시 시흥대로1074번길 21,126.7952834,37.43139367
9290,매화노래방,무도/유흥/가무,시흥시,매화동,경기도 시흥시 매화2로 22,126.8125504,37.41695338
9291,쌍둥이정육점,음/식료품소매,시흥시,능곡동,경기도 시흥시 승지로69번길 8-1,126.8097722,37.37047613
9292,소문난양념코너,일식/수산물,시흥시,정왕3동,경기도 시흥시 오이도로 173,126.6880745,37.34546415
9293,페라슈발츄러스,분식,시흥시,매화동,경기도 시흥시 매화로 62-24,126.8132431,37.41529339
9294,KSK,종합소매점,시흥시,장곡동,경기도 시흥시 장곡로 35,126.7849296,37.37917998
9295,천우식당,한식,시흥시,목감동,경기도 시흥시 수인로2421번길 8,126.8562893,37.39409235
9296,푸른말글웅변학원,학원기타,시흥시,신천동,경기도 시흥시 신천천동로 39,126.7833289,37.43768666
9297,돈까스위에토마토,양식,시흥시,월곶동,경기도 시흥시 월곶중앙로 71,126.7372978,37.38895293
9298,행복한정육점,유흥주점,시흥시,연성동,경기도 시흥시 하중로 130,126.8002075,37.39896092
9299,포시즌마트,종합소매점,시흥시,능곡동,경기도 시흥시 능곡중앙로 120,126.8136306,37.37423626
9300,MT인테리어,가정/주방/인테리어,시흥시,정왕4동,경기도 시흥시 함송로29번길 54,126.7355875,37.36437204
9301,부광철물,철물/난방/건설자재소매,시흥시,정왕1동,경기도 시흥시 정왕대로 230,126.738477,37.34484104
9302,부엉이,유흥주점,시흥시,정왕1동,경기도 시흥시 중심상가로 187,126.7360879,37.34463532
9303,매화싸롱,유흥주점,시흥시,매화동,경기도 시흥시 매화1로 2-1,126.814016,37.41642746
9304,푸르지오한우마을,음/식료품소매,시흥시,정왕본동,경기도 시흥시 죽율로 38,126.7612681,37.34799231
9305,온누리전기조명,가정/주방/인테리어,시흥시,정왕2동,경기도 시흥시 군자천로131번길 64,126.7150301,37.33592054
9306,천우부동산,부동산중개,시흥시,목감동,경기도 시흥시 동서로 1083,126.8598847,37.38562108
9307,고양이라면,분식,시흥시,매화동,경기도 시흥시 매화로 144-6,126.8181701,37.40799918
9308,아모레정왕특약점,화장품소매,시흥시,정왕3동,경기도 시흥시 옥구상가1길 17,126.7219328,37.35343969
9309,옛날토종순대국,한식,시흥시,대야동,경기도 시흥시 뱀내장터로 17,126.7867045,37.44207341
9310,그집쭈꾸미,한식,시흥시,정왕2동,경기도 시흥시 정왕대로 174,126.7334779,37.34816657
9311,준인테리어,가정/주방/인테리어,시흥시,군자동,경기도 시흥시 도일로 138,126.7849817,37.34234533
9312,티엔푸드,한식,시흥시,정왕1동,경기도 시흥시 정왕천로 155,126.7331342,37.32630329
9313,모델노래방,무도/유흥/가무,시흥시,정왕1동,경기도 시흥시 정왕대로 230,126.738477,37.34484104
9314,행복한홍익미술학원,학원기타,시흥시,군자동,경기도 시흥시 군자로492번길 7,126.7837686,37.34548657
9315,해물잔치,일식/수산물,시흥시,정왕1동,경기도 시흥시 중심상가로 186,126.7355712,37.34448563
9316,불닭발엽기떡볶이,분식,시흥시,능곡동,경기도 시흥시 승지로69번길 3,126.8102079,37.37005701
9317,진천토종순대,한식,시흥시,신천동,경기도 시흥시 호현로22번길 16-1,126.7858275,37.44110029
9318,대광식당,한식,시흥시,정왕2동,경기도 시흥시 희망공원로 116,126.7150416,37.33326255
9319,참조은모텔고시원,모텔/여관/여인숙,시흥시,정왕3동,경기도 시흥시 오이도로135번길 45,126.6880601,37.34434669
9320,석기정돌솥부대찌개,한식,시흥시,장곡동,경기도 시흥시 인선길 42,126.7839742,37.37751222
9321,지리산토종생고기,한식,시흥시,정왕1동,경기도 시흥시 평안상가4길 8-6,126.747912,37.3380482
9322,오투헤어라인,이/미용/건강,시흥시,정왕3동,경기도 시흥시 정왕대로53번길 5,126.7235975,37.35578238
9323,미시빠유흥주점,유흥주점,시흥시,정왕1동,경기도 시흥시 중심상가로 198,126.7367448,37.34382238
9324,서해MTB,자동차/이륜차,시흥시,정왕4동,경기도 시흥시 함송로13번길 28,126.7320735,37.36455968
9325,신비칼국수,분식,시흥시,월곶동,경기도 시흥시 동서로10번길 7,126.7525867,37.3897099
9326,선수촌식당,한식,시흥시,정왕1동,경기도 시흥시 정왕천로369번길 1,126.7488382,37.34140092
